('rust:bytes', '>= 1.4.0,< 2.0.0')
('rust:tempfile', '>= 3.10.1,< 4.0.0')
('rust:x11', '2.21.0')
('rust:windows', '0.57.0')
('rubygems:test-kitchen', '3.3.2')
('rust:ip_network_table', '>= 0.2.0,< 0.3.0')
('rubygems:httpclient', '2.8.3')
('rust:uuid', '>= 1.7.0,< 2.0.0')
('rubygems:mixlib-cli', '2.1.8')
('rubygems:faraday', '1.4.3')
('npm:strip-indent', '3.0.0')
('rust:cocoa', '0.25.0')
('rust:async-lock', '3.3.0')
('npm:yargs', '17.6.2')
('rust:clipboard-win', '5.3.1')
('rust:derive_arbitrary', '1.3.2')
('rust:env_filter', '0.1.0')
('rust:hickory-proto', '0.24.0')
('rubygems:webrick', '1.7.0')
('npm:find-up', '4.1.0')
('rust:cocoa', '0.24.1')
('rust:webkit2gtk-sys', '0.18.0')
('npm:bulma', '0.9.4')
('rust:num', '0.4.1')
('rust:cc', '1.0.90')
('npm:tslib', '2.6.3')
('actions:actions/download-artifact', '3')
('npm:sass-graph', '4.0.1')
('rubygems:multipart-post', '2.2.3')
('npm:highlight.js', '11.7.0')
('actions:docker/setup-buildx-action', '3.*.*')
('rubygems:builder', '3.2.4')
('rust:netlink-packet-core', '0.7.0')
('rust:tracing-log', '0.2.0')
('rust:phf_generator', '0.11.2')
('npm:@fontsource/fira-sans', '4.5.10')
('npm:acorn', '8.11.3')
('actions:docker/setup-buildx-action', '2')
('rust:dirs', '5.0.1')
('rust:indexmap', '2.2.6')
('npm:normalize-package-data', '3.0.3')
('npm:pump', '3.0.0')
('npm:minipass-collect', '1.0.2')
('rust:soup2-sys', '0.2.0')
('rust:pin-project-internal', '1.1.5')
('rust:ident_case', '1.0.1')
('npm:core-util-is', '1.0.2')
('rust:cargo_toml', '0.15.3')
('rust:nix', '0.26.4')
('rust:tauri-winrt-notification', '0.1.3')
('rust:windows_i686_msvc', '0.36.1')
('npm:bulma-checkbox', '1.2.1')
('rust:jni-sys', '0.3.0')
('npm:to-regex-range', '5.0.1')
('rust:socket2', '0.4.10')
('actions:amannn/action-semantic-pull-request', '5.*.*')
('rubygems:molinillo', '0.8.0')
('npm:extract-zip', '2.0.1')
('rubygems:parser', '3.2.2.3')
('rust:atomic-waker', '1.1.2')
('npm:redent', '3.0.0')
('rubygems:license-acceptance', '2.1.13')
('rust:crash-handler', '>= 0.6.2,< 0.7.0')
('npm:require-directory', '2.1.1')
('npm:form-data', '2.3.3')
('npm:fast-fifo', '1.3.2')
('rubygems:thor', '1.2.1')
('npm:clean-stack', '2.2.0')
('rubygems:ruby-progressbar', '1.13.0')
('rust:fiat-crypto', '0.2.7')
('actions:docker/metadata-action', '5.*.*')
('rubygems:tty-color', '0.6.0')
