('maven:org.ow2.asm:asm-commons', '9.4')
('maven:org.slf4j:jcl-over-slf4j', '')
('maven:com.fasterxml.jackson.core:jackson-annotations', '2.15.2')
('maven:io.netty:netty-codec-socks', '4.1.100')
('maven:org.eclipse.jetty:jetty-util', '9.4.53.v20231009')
('maven:io.netty:netty-codec-smtp', '4.1.100')
('maven:io.fabric8:docker-maven-plugin', '')
('maven:org.eclipse.persistence:org.eclipse.persistence.moxy', '')
('maven:commons-configuration:commons-configuration', '1.9')
('maven:org.apache.commons:commons-pool2', '2.3')
('maven:org.eclipse.kapua:kapua-scheduler-quartz', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-device-management-asset-store-api', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-console-web', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-console-module-about', '')
('maven:org.eclipse.kapua:kapua-console-module-user', '')
('maven:org.eclipse.kapua:kapua-console-module-tag', '')
('maven:org.springframework:spring-core', '')
