('rust:idna', '0.5.0')
('npm:commondir', '1.0.1')
('npm:recharts', '^ 2.1.13')
('npm:path-scurry', '1.10.2')
('rust:axum', '0.7.5')
('npm:is-negative-zero', '2.0.3')
('npm:strong-log-transformer', '2.1.0')
('npm:jsesc', '2.5.2')
('npm:@types/through', '0.0.30')
('npm:@cosmjs/launchpad', '0.25.6')
('npm:eslint', '8.57.0')
('npm:p-limit', '2.3.0')
('npm:@cosmjs/math', '0.29.5')
('npm:react-smooth', '4.0.1')
('npm:@babel/plugin-syntax-typescript', '7.18.6')
('rust:windows_x86_64_msvc', '0.48.5')
('npm:acorn', '6.4.2')
('actions:actions/checkout', '3.*.*')
('rust:cargo-edit', '>= 0.11.0,< 0.12.0')
('npm:ws', '8.11.0')
('rust:semver-parser', '0.10.2')
('rust:anyhow', '1.0.79')
('npm:@parcel/transformer-svg', '2.4.0')
('rust:cosmos-sdk-proto', '0.20.0')
('rust:opentelemetry_sdk', '0.19.0')
('npm:shebang-regex', '3.0.0')
('npm:babel-plugin-root-import', '5.1.0')
('rust:crypto-bigint', '0.5.5')
('npm:@react-aria/tabs', '3.8.5')
('npm:printj', '1.1.2')
('npm:trim-newlines', '1.0.0')
('npm:untildify', '2.1.0')
('npm:expect-webdriverio', '3.1.4')
('npm:source-map-support', '0.5.13')
('rust:rand_pcg', '0.1.2')
('npm:@jest/console', '29.7.0')
('npm:@types/node', '11.11.6')
('rust:glob', '0.3.1')
('rust:x11', '2.21.0')
('npm:@react-aria/utils', '3.23.2')
('npm:map-cache', '0.2.2')
('npm:run-applescript', '5.0.0')
('npm:node-releases', '2.0.14')
('npm:kind-of', '3.2.2')
('npm:@cosmjs/proto-signing', '0.25.6')
('npm:react-refresh', '0.10.0')
('npm:jest-cli', '29.7.0')
('rust:core-foundation', '0.9.3')
('npm:semver', '^ 7.3.8')
('rust:bls12_381', '0.6.0')
('npm:ansi-regex', '3.0.1')
('rust:cosmwasm-std', '>= 1.3.0,< 2.0.0')
('npm:@img/sharp-libvips-darwin-x64', '1.0.2')
('rust:nym-coconut-dkg-common', '0.1.0')
('npm:micromatch', '3.1.10')
('rust:const_format', '0.2.32')
('npm:@cosmjs/math', '0.32.3')
('rust:getrandom', '0.2.10')
('npm:is-object', '1.0.2')
('npm:eslint-plugin-jest', '^ 26.1.1')
('npm:@babel/plugin-syntax-export-default-from', '7.24.1')
('npm:git-raw-commits', '3.0.0')
('rust:sqlx-core', '0.5.13')
('npm:base-x', '4.0.0')
('npm:postcss-reduce-initial', '5.1.2')
('npm:ws', '7.5.9')
('npm:nested-error-stacks', '2.1.1')
('npm:@types/babel__core', '7.1.19')
('npm:@types/serve-index', '1.9.4')
('rust:serde', '1.0.198')
('npm:d3-timer', '2.0.0')
('npm:strip-ansi', '4.0.0')
('npm:ts-node', '10')
('actions:timheuer/base64-to-file', '1.2.*')
('npm:chromium-bidi', '0.4.22')
('npm:recharts-scale', '0.4.5')
('rust:js-sys', '0.3.67')
('rust:kqueue-sys', '1.0.4')
('npm:@octokit/openapi-types', '20.0.0')
('npm:prettier-linter-helpers', '1.0.0')
('npm:@mdx-js/mdx', '1.6.22')
('rust:utoipa-gen', '4.3.0')
('npm:@babel/helpers', '7.18.9')
('npm:minipass-collect', '1.0.2')
('rust:soup2-sys', '0.2.0')
('rust:fuchsia-cprng', '0.1.1')
('npm:@tauri-apps/cli-win32-arm64-msvc', '1.5.11')
('rust:pin-project-internal', '1.1.5')
('npm:domhandler', '4.3.1')
('npm:minimist', '1.2.8')
('npm:@webassemblyjs/ast', '1.11.1')
('npm:yn', '2.0.0')
('rust:ed25519-consensus', '2.1.0')
('npm:js-sha512', '0.8.0')
('npm:rehype-stringify', '10.0.0')
('npm:@types/yargs-parser', '21.0.3')
('rust:serde_derive', '1.0.196')
('npm:@storybook/components', '6.5.16')
('rust:cocoa-foundation', '0.1.1')
('npm:@babel/plugin-syntax-top-level-await', '7.14.5')
('npm:prettier', '^ 2.8.7')
('npm:redent', '3.0.0')
('npm:react-is', '18.2.0')
('npm:babel-plugin-polyfill-regenerator', '0.6.1')
('npm:require-directory', '2.1.1')
