('npm:@types/json-schema', '7.0.4')
('npm:@formio/semantic', '2.4.0')
('npm:@types/through', '0.0.30')
('npm:json-logic-js', '1.2.2')
('npm:p-limit', '2.3.0')
('npm:bn.js', '4.11.9')
('rubygems:coffee-script-source', '1.11.1')
('npm:acorn', '6.4.2')
('npm:@babel/preset-react', '7.12.1')
('npm:@rollup/plugin-commonjs', '11.1.0')
('npm:@babel/helper-builder-react-jsx-experimental', '7.12.4')
('npm:@types/react-bootstrap-table-next', '4.0.18')
('npm:wolfy87-eventemitter', '5.1.0')
('npm:@types/jest-cli', '23.6.0')
('npm:async-each', '1.0.3')
('npm:@types/webpack-env', '1.15.3')
('npm:shebang-regex', '3.0.0')
('npm:wait-for-expect', '3.0.2')
('npm:slate-react-placeholder', '0.2.9')
('npm:rc-time-picker', '3.7.3')
('npm:pn', '1.1.0')
('npm:jest-resolve', '24.9.0')
('npm:trim-newlines', '1.0.0')
('npm:core-js', '2.6.11')
('npm:log-symbols', '1.0.2')
('npm:regenerator-runtime', '0.11.1')
('rubygems:jekyll-github-metadata', '2.13.0')
('npm:@types/babel__template', '7.0.3')
('npm:map-cache', '0.2.2')
('npm:postcss-minify-font-values', '4.0.2')
('npm:kind-of', '3.2.2')
('npm:@types/tapable', '1.0.8')
('npm:@babel/plugin-syntax-typescript', '7.14.5')
('npm:@types/react-dev-utils', '^ 9.0.4')
('npm:ansi-regex', '3.0.1')
('npm:@types/stack-utils', '1.0.1')
('npm:messageformat-parser', '4.1.3')
('npm:yargs', '12.0.5')
('npm:replace-in-file', '4.3.1')
('npm:exact-trie', '1.0.13')
('npm:cssstyle', '1.4.0')
('npm:term-size', '1.2.0')
('npm:micromatch', '3.1.10')
('npm:chalk', '2.4.1')
('npm:emotion', '10.0.27')
('rubygems:webrick', '1.7.0')
('npm:promise', '7.3.1')
('npm:d3-dispatch', '1.0.6')
('npm:@chakra-ui/image', '1.1.2')
('npm:@types/babel__core', '7.1.19')
