('npm:@webassemblyjs/wasm-edit', '1.11.6')
('npm:@babel/helper-builder-binary-assignment-operator-visitor', '7.24.7')
('npm:isstream', '0.1.2')
('npm:sass-embedded-android-x64', '1.77.5')
('composer:sebastian/complexity', '3.2.0')
('npm:jest-environment-jsdom', '29.7.0')
('npm:@babel/helper-validator-option', '7.24.7')
('npm:binary-extensions', '2.2.0')
('composer:aws/aws-crt-php', '1.2.5')
('npm:html-escaper', '2.0.2')
('composer:behat/gherkin', '4.9.0')
('composer:php-di/invoker', '2.3.4')
('composer:paragonie/sodium_compat', '1.21.1')
('composer:laminas/laminas-code', '4.14.0')
('actions:shivammathur/setup-php', '2')
('npm:escalade', '3.1.1')
('npm:error-ex', '1.3.2')
('actions:aws-actions/configure-aws-credentials', '4.0.2')
('npm:@babel/generator', '7.24.7')
('npm:@esbuild/win32-x64', '0.21.4')
('composer:gettext/languages', '2.10.0')
('composer:symfony/filesystem', '6.4.8')
('composer:paragonie/hidden-string', '1.1.0')
('go:github.com/rs/zerolog', '1.33.0')
('npm:jest', '29.7.0')
('composer:paragonie/random_compat', '9.99.100')
('npm:is-glob', '4.0.1')
('npm:caniuse-lite', '1.0.30001527')
('npm:@esbuild/android-x64', '0.21.4')
('npm:picocolors', '1.0.1')
('npm:@webassemblyjs/ast', '1.11.6')
('npm:escalade', '3.1.2')
('npm:ansi-styles', '5.2.0')
('composer:paragonie/constant_time_encoding', '2.7.0')
('actions:ministryofjustice/opg-github-workflows/.github/workflows/data-parse-branch-name.yml', '2d85e0b1b1b84ca98b6ec27d251d8e6319c95df9')
('npm:sass-embedded-android-arm', '1.77.5')
('pip:boto3', '~> 1.34.117')
('composer:amphp/cache', '1.4.0')
('npm:cross-spawn', '7.0.3')
('npm:escape-string-regexp', '4.0.0')
('composer:symfony/translation-contracts', '3.5.0')
('npm:browserslist', '4.23.1')
('npm:nwsapi', '2.2.10')
('npm:sass-embedded-android-ia32', '1.77.5')
('npm:@webassemblyjs/leb128', '1.11.6')
('npm:@esbuild/sunos-x64', '0.21.4')
('npm:detect-newline', '3.1.0')
('npm:which', '2.0.2')
('npm:fastq', '1.17.1')
('composer:symfony/config', '7.1.1')
('npm:lodash', '4.17.21')
('npm:run-parallel', '1.2.0')
('npm:jest-environment-node', '29.7.0')
('actions:github/codeql-action/autobuild', '3.*.*')
('composer:laminas/laminas-validator', '2.54.0')
('npm:@babel/runtime', '7.24.7')
('npm:@esbuild/win32-ia32', '0.21.5')
('npm:sass-embedded-darwin-arm64', '1.77.5')
('npm:@types/graceful-fs', '4.1.9')
('npm:camelcase', '5.3.1')
('npm:@babel/types', '7.24.7')
('go:github.com/aws/aws-sdk-go-v2/feature/ec2/imds', '1.16.3')
('npm:@jest/reporters', '29.7.0')
('npm:@bufbuild/protobuf', '1.10.0')
('composer:felixfbecker/advanced-json-rpc', '3.2.1')
('composer:guzzlehttp/psr7', '2.6.2')
('composer:sebastian/global-state', '6.0.2')
('npm:react-is', '17.0.2')
('composer:symfony/polyfill-php80', '1.29.0')
('npm:whatwg-mimetype', '3.0.0')
('npm:dom-accessibility-api', '0.6.3')
('composer:theseer/tokenizer', '1.2.3')
('npm:@xtuc/long', '4.2.2')
('composer:symfony/polyfill-php73', '1.30.0')
('npm:@webassemblyjs/wast-printer', '1.11.6')
('npm:@eslint/eslintrc', '3.1.0')
('npm:jest-runtime', '29.7.0')
('npm:requires-port', '1.0.0')
('go:github.com/aws/aws-sdk-go-v2', '1.27.0')
('actions:aws-actions/amazon-ecr-login', '3b8097c25e1fc9742d2d91e6cdafe7b13d1f3d93')
('npm:mime-db', '1.52.0')
('go:github.com/gorilla/mux', '1.8.1')
('npm:es6-promise', '4.2.8')
('npm:istanbul-lib-instrument', '6.0.3')
('actions:hashicorp/setup-terraform', '3235006f3a5bc0e29fb49e41401c5bff62c4d885')
('actions:actions/checkout', '44c2b7a8a4ea60a981eaca3cf939b5f4305c123b')
