,Repo_id,URL,VAG,AWS,AZ,PUP,TF/OT,SS,PUL,BIC,DOCK,CHEF,GOOG,KUB,ANS,Validated files,IaC_tools
124,moondev_million-song-library,https://github.com/moondev/million-song-library,0,0,0,0,0,0,0,0,1,0,0,0,0,,DOCK
125,lblod_app-demo-editor,https://github.com/lblod/app-demo-editor,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
126,Engineering-Research-and-Development_true-connector-execution_core_container,https://github.com/Engineering-Research-and-Development/true-connector-execution_core_container,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
127,cuappdev_ithaca-transit-backend,https://github.com/cuappdev/ithaca-transit-backend,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
128,EMSL-MSC_pacifica-upload-status,https://github.com/EMSL-MSC/pacifica-upload-status,0,0,0,0,0,0,0,0,1,0,0,0,0,,DOCK
129,pelias_docker,https://github.com/pelias/docker,0,0,0,0,0,0,0,0,1,0,0,0,0,,DOCK
130,Viveckh_Veniqa,https://github.com/Viveckh/Veniqa,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
131,savantly-net_sprout-platform,https://github.com/savantly-net/sprout-platform,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
132,theparanoids_ashirt-server,https://github.com/theparanoids/ashirt-server,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
133,FAForever_faf-stack,https://github.com/FAForever/faf-stack,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
134,sorry-cypress_sorry-cypress,https://github.com/sorry-cypress/sorry-cypress,0,1,0,0,0,0,0,0,1,0,0,0,1,{'AMZ': '/Users/mrobredo23/sorry-cypress_sorry-cypress/cloudformation/sorry-cypress-advanced-deployment.yml'},"AWS, DOCK, ANS"
135,firezone_firezone,https://github.com/firezone/firezone,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
136,cygnusb2b_radix,https://github.com/cygnusb2b/radix,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
137,tisboyo_Twitch_Bot,https://github.com/tisboyo/Twitch_Bot,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
138,pagarme_superbowleto,https://github.com/pagarme/superbowleto,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
139,globocom_vault,https://github.com/globocom/vault,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
140,checkr_flagr,https://github.com/checkr/flagr,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
141,somleng_somleng-project,https://github.com/somleng/somleng-project,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
142,codefordc_dc-campaign-finance-watch,https://github.com/codefordc/dc-campaign-finance-watch,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
143,instedd_oasis,https://github.com/instedd/oasis,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
144,TheRestartProject_RepairDirectory,https://github.com/TheRestartProject/RepairDirectory,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
145,zeeguu-ecosystem_Zeeguu-API,https://github.com/zeeguu-ecosystem/Zeeguu-API,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
146,uavaustin_orchestra,https://github.com/uavaustin/orchestra,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
147,lidarr_LidarrAPI.Metadata,https://github.com/lidarr/LidarrAPI.Metadata,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
148,lightninglabs_loop,https://github.com/lightninglabs/loop,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
